Period	Day	Date	Plot	Band	Color Combo	Age	Sex	Seen	Location	Observer	Notes
2	2	16-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	1	Z.7-7	KCO	
2	3	17-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
2	4	18-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	1	A-6.5	KCO	
2	5	19-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
3	1	1-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
3	2	2-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		LFD	
3	3	3-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
3	4	4-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	1	A-6.9	KCO	
3	5	5-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		LFD	
4	1	15-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		AJS	
4	2	16-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		AJS	
4	3	17-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		AJS	
4	4	18-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	0		LFD	
4	5	19-Mar-17	LI	2570-44339	"O,A/Y"	ASY	F	1	Z.8-7	KCO	
5	1	1-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		AJS	
5	2	2-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		LFD	
5	3	3-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
5	4	4-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
5	5	5-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
6	1	15-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
6	2	16-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0*	A-5.3	KCO	
6	3	17-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
6	4	18-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
6	5	19-Apr-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
1	1	1-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0		KCO	"Check for Green band, may just be A,Y"
1	2	2-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	1		AJS	"APPEARS TO BE JUST A,Y"
1	3	3-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0*	D-8.5	KCO	
1	4	4-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0		JPS	
1	5	5-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0*	D8.5	D-8.5	"new color combo added esd originslly A,Y now A, Y/K"
2	1	15-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	1	D.6-8.1	LFD	
2	2	16-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0*	C.5-8.5	AJS	
2	3	17-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0*	C.5-8.5	AJS	
2	4	18-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0*	D.5-8.25	LFD	
2	5	19-Feb-17	MII	2570-44402	"A,Y/K"	ASY	M	0		LFD	
3	1	1-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	1	C.9-8.7	LFD	
3	2	2-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		JPS	
3	3	3-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		LFD	
3	4	4-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		LFD	
3	5	5-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		KCO	
4	1	15-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		JPS	
4	2	16-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		AJS	
4	3	17-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		JPS	
4	4	18-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		AJS	
4	5	19-Mar-17	MII	2570-44402	"A,Y/K"	ASY	M	0		AJS	
5	1	1-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	0		JPS	
5	2	2-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	0		AJS	
5	3	3-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	0		AJS	
5	4	4-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	0		JPS	
5	5	5-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	0		LFD	
6	1	15-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	0		LFD	
6	2	16-Apr-17	MII	2570-44402	"A,Y/K"	ASY	M	1	H-10	AJS	
